,value,variable,date
567,7.517236188539975,1997,8/10
568,7.648736136201251,1997,8/11
569,7.657211806251681,1997,8/12
570,7.557257228420334,1997,8/13
571,7.650692200823937,1997,8/14
572,7.623385589084276,1997,8/15
573,7.630842064496977,1997,8/16
574,7.721776811178457,1997,8/17
575,7.803494914253144,1997,8/18
576,8.032020638502738,1997,8/19
577,8.209949092762754,1997,8/20
578,8.292130566147305,1997,8/21
579,8.507091835407328,1997,8/22
580,8.7521709126229,1997,8/23
581,8.809543111612436,1997,8/24
582,8.668405810829634,1997,8/25
583,8.792146895014737,1997,8/26
584,8.72775115481905,1997,8/27
585,8.587711351516615,1997,8/28
586,8.81907544892052,1997,8/29
587,8.731740858132063,1997,8/30
588,8.83590552650575,1997,8/31
589,8.809032852054665,1997,9/1
590,8.755145726966278,1997,9/2
591,8.533026352607394,1997,9/3
592,8.555552008221936,1997,9/4
593,8.510813191430511,1997,9/5
594,8.525975874425384,1997,9/6
595,8.486548431866485,1997,9/7
596,8.320698519544395,1997,9/8
597,8.279050595919164,1997,9/9
598,8.185049398680269,1997,9/10
599,8.1197270347735,1997,9/11
600,8.215446076991634,1997,9/12
601,8.031731064470042,1997,9/13
602,8.080860134001448,1997,9/14
603,8.21681486501558,1997,9/15
604,8.399322845967992,1997,9/16
605,8.50661452332933,1997,9/17
606,8.564013629671825,1997,9/18
607,8.659522185432222,1997,9/19
608,8.626168231247183,1997,9/20
609,8.664121751641739,1997,9/21
610,8.885726003060618,1997,9/22
611,9.107970059439705,1997,9/23
612,9.039529925537705,1997,9/24
613,9.069072825014004,1997,9/25
614,9.146764388476862,1997,9/26
615,9.28889052250056,1997,9/27
616,9.097089676330176,1997,9/28
617,9.097089676330176,1997,9/29
618,9.097089676330176,1997,9/30
619,9.097089676330176,1997,10/1
620,9.097089676330176,1997,10/2
621,9.097089676330176,1997,10/3
622,9.097089676330176,1997,10/4
623,9.097089676330176,1997,10/5
624,9.097089676330176,1997,10/6
625,9.097089676330176,1997,10/7
626,9.097089676330176,1997,10/8
627,9.097089676330176,1997,10/9
628,9.097089676330176,1997,10/10
629,9.097089676330176,1997,10/31
630,0.0,1998,3/16
631,0.0,1998,3/17
