,deviation,year,date
686,4.173318699,1998,5/11
687,4.30290235,1998,5/12
688,4.306021871,1998,5/13
689,4.467354488,1998,5/14
690,4.433800955,1998,5/15
691,4.525206243,1998,5/16
692,4.572906861,1998,5/17
693,4.38745495,1998,5/18
694,4.495242775,1998,5/19
695,4.769702705,1998,5/20
696,4.999354765,1998,5/21
697,5.132069688,1998,5/22
698,5.160212076,1998,5/23
699,5.087768337,1998,5/24
700,5.112600413,1998,5/25
701,5.352991324,1998,5/26
702,5.374344531,1998,5/27
703,5.347320682,1998,5/28
704,5.430724747,1998,5/29
705,5.395161007,1998,5/30
706,5.518624336,1998,5/31
707,5.622222848,1998,6/1
708,5.893094276,1998,6/2
709,6.104208807,1998,6/3
710,6.207338286,1998,6/4
711,6.217441054,1998,6/5
712,6.525052617,1998,6/6
713,6.78708102,1998,6/7
714,6.999269802,1998,6/8
715,7.148970697,1998,6/9
716,7.138473092,1998,6/10
717,7.113943549,1998,6/11
718,6.968461653,1998,6/12
719,6.922537502,1998,6/13
720,7.020886274,1998,6/14
721,6.969848589,1998,6/15
722,7.072827558,1998,6/16
723,7.160813372,1998,6/17
724,7.229222512,1998,6/18
725,7.281155766,1998,6/19
726,7.298611957,1998,6/20
727,7.406623132,1998,6/21
728,7.498870983,1998,6/22
729,7.610933671,1998,6/23
730,7.536931528,1998,6/24
731,7.620745261,1998,6/25
732,7.696605202,1998,6/26
733,7.725700645,1998,6/27
734,7.67021098,1998,6/28
735,7.67021098,1998,6/29
736,7.662010988,1998,6/30
737,7.869645381,1998,7/1
738,7.907295176,1998,7/2
739,8.065241036,1998,7/3
740,8.045726864,1998,7/4
741,8.35788749,1998,7/5
742,8.35788749,1998,7/6
743,8.35788749,1998,7/7
744,8.35788749,1998,7/8
745,8.413520886,1998,7/9
746,8.398373831,1998,7/10
747,8.40261103,1998,7/11
748,8.416510107,1998,7/12
749,8.174209791,1998,7/13
750,8.160265894,1998,7/14
751,8.154814815,1998,7/15
752,8.007354154,1998,7/16
753,7.996350834,1998,7/17
754,8.171244397,1998,7/18
755,8.192554263,1998,7/19
756,8.350808861,1998,7/20
757,8.48379967,1998,7/21
758,8.683203259,1998,7/22
759,8.871976682,1998,7/23
760,9.007887882,1998,7/24
761,8.922768002,1998,7/25
762,9.006203419,1998,7/26
763,9.123198507,1998,7/27
764,9.189024801,1998,7/28
765,9.413050377,1998,7/29
766,9.413420854,1998,7/30
767,9.397821684,1998,7/31
768,9.458290181,1998,8/1
769,9.509742509,1998,8/2
770,9.406942106,1998,8/3
771,9.725107879,1998,8/4
772,9.600670259,1998,8/5
773,9.675002329,1998,8/6
774,9.859866204,1998,8/7
775,9.968794927,1998,8/8
776,10.0369777,1998,8/9
777,10.1411871,1998,8/10
778,10.18286834,1998,8/11
779,10.35564549,1998,8/12
780,10.49943062,1998,8/13
781,10.68703041,1998,8/14
782,10.7038901,1998,8/15
783,10.66978309,1998,8/16
784,10.74101074,1998,8/17
785,10.95020788,1998,8/18
786,10.92306707,1998,8/19
787,10.86564064,1998,8/20
788,10.9994946,1998,8/21
789,11.05184963,1998,8/22
790,11.19277886,1998,8/23
791,11.33678691,1998,8/24
792,11.42470896,1998,8/25
793,11.71292804,1998,8/26
794,11.70775066,1998,8/27
795,11.809076,1998,8/28
796,11.79455807,1998,8/29
797,11.75687749,1998,8/30
798,12.00450739,1998,8/31
799,12.06497476,1998,9/1
800,12.0961324,1998,9/2
801,12.0732861,1998,9/3
802,12.08124476,1998,9/4
803,12.19563545,1998,9/5
804,12.13359299,1998,9/6
805,12.12857798,1998,9/7
806,12.13427777,1998,9/8
807,12.3203547,1998,9/9
808,12.51369694,1998,9/10
809,12.41868963,1998,9/11
810,12.48003878,1998,9/12
811,12.31434169,1998,9/13
812,12.46121797,1998,9/14
813,12.39103708,1998,9/15
814,12.47756747,1998,9/16
815,12.64561231,1998,9/17
816,12.58339867,1998,9/18
817,12.5505001,1998,9/19
818,12.7429203,1998,9/20
819,12.73211179,1998,9/21
820,12.85413315,1998,9/22
821,12.97020236,1998,9/23
822,13.11654242,1998,9/24
823,13.09763199,1998,9/25
